0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.99,2.8479,2.89,3.0397,1.9608,4.0404,7.1066,-0.067,-0.9901,1.8482,3.9932,6.732,-5.78,-7.0352,-5.0251,-4.0264,-2.7967,-16.282,-14.713
0.99502,0.90615,-1.0509,-0.06909,-0.98039,2.0202,3.0457,-3.0821,-5.9406,-4.0924,-1.0829,-2.0915,-9.7209,-13.065,-13.065,-9.967,-6.6992,-22.051,-20.624
-1.99,-1.0356,-2.0361,-1.1054,-3.9216,-2.0202,-1.0152,-3.0821,-5.9406,-7.0627,-4.1286,-5.0327,-7.7504,-11.055,-14.07,-9.967,-7.6748,-18.205,-16.683
0.0,-0.06472,-0.06568,-0.06909,-2.9412,-5.0505,0.0,-2.0771,-2.9703,-7.0627,-4.1286,-2.0915,-6.7652,-9.0452,-12.06,-8.9769,-5.7236,-13.397,-10.772
0.99502,0.90615,1.9048,0.96718,-2.9412,-4.0404,-1.0152,-2.0771,-3.9604,-6.0726,-6.1591,-4.0523,-7.7504,-9.0452,-12.06,-9.967,-6.6992,-10.513,-10.772
3.9801,2.8479,4.8604,2.0035,2.9412,-1.0101,-2.0305,-0.067,0.0,-0.13201,-4.1286,-4.0523,-3.8095,-5.0251,-7.0352,-6.9967,-5.7236,-5.7051,-8.8013
1.99,1.877,1.9048,0.96718,2.9412,0.0,-3.0457,-0.067,0.0,0.85809,-2.0981,-4.0523,-0.85386,-3.0151,-4.0201,-5.0165,-6.6992,-2.8205,-7.8161
-0.99502,-0.06472,1.9048,-3.1779,0.0,-3.0303,-4.0609,1.943,-3.9604,-3.1023,-2.0981,-2.0915,-0.85386,-2.0101,-6.0302,-4.0264,-4.748,-1.859,-5.8456
-3.9801,-1.0356,1.9048,-5.2504,-3.9216,-6.0606,-3.0457,2.9481,-4.9505,-9.0429,-7.1743,-4.0523,-1.8391,-4.0201,-9.0452,-6.9967,-5.7236,-3.7821,-6.8309
0.0,-0.06472,4.8604,-3.1779,-2.9412,-6.0606,-4.0609,4.9581,0.0,-7.0627,-9.2047,-6.0131,-0.85386,-2.0101,-8.0402,-6.9967,-7.6748,-4.7436,-6.8309
