0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.97561,3.9216,0.89744,4.6377,6.7974,9.6618,14.359,-10.654,-1.0111,2.9268,9.6508,1.9683,-9.8039,-7.5556,-8.6538,-0.96618,-2.0415,-8.5308,-5.7504
2.9268,10.784,5.7051,6.57,5.817,7.7295,14.359,-5.8692,0.88468,2.9268,9.6508,7.6825,-7.8431,-5.6508,-9.6154,-0.96618,0.82935,-6.6351,-3.8547
3.9024,6.8627,3.7821,4.6377,4.8366,6.7633,5.7051,5.614,1.8325,0.0,2.9841,4.8254,-6.8627,-5.6508,-12.5,-5.7971,0.82935,-9.4787,-6.6983
0.97561,7.8431,2.8205,2.7053,1.8954,4.8309,-1.0256,7.5279,1.8325,-1.9512,-0.8254,-8.5079,-7.8431,-5.6508,-11.538,-5.7971,-0.12759,-7.5829,-3.8547
2.9268,1.9608,-0.0641,-0.19324,-0.06536,1.9324,4.7436,-8.74,-1.9589,-3.9024,-5.5873,2.9206,-6.8627,-5.6508,-8.6538,-5.7971,-1.0845,-6.6351,-2.9068
-2.9268,-5.8824,-6.7949,-3.0918,-4.9673,-5.7971,5.7051,-16.396,-6.6983,-6.8293,-10.349,-1.8413,-6.8627,-7.5556,-7.6923,-6.7633,-3.9553,-4.7393,-2.9068
-4.878,-0.98039,-6.7949,-6.9565,-6.9281,-5.7971,4.7436,1.7863,-6.6983,-7.8049,-11.302,-1.8413,-5.8824,-7.5556,-6.7308,-7.7295,-3.9553,-2.8436,-2.9068
-2.9268,0.0,-6.7949,-9.8551,-9.8693,-10.628,-1.9872,12.313,-6.6983,-4.878,-7.4921,-5.6508,0.0,-5.6508,-4.8077,-4.8309,-3.9553,-0.94787,-2.9068
-1.9512,0.0,-5.8333,-7.9227,-9.8693,-8.6957,1.859,0.82935,-1.9589,-0.97561,-5.5873,8.6349,1.9608,-2.7937,-2.8846,-4.8309,-1.0845,-3.7915,-2.9068
-7.8049,0.98039,-5.8333,-4.058,-3.9869,-4.8309,-1.9872,-2.9984,-0.06319,3.9024,-0.8254,3.873,0.0,-0.88889,-0.96154,-2.8986,-0.12759,-2.8436,-1.9589
-9.7561,-2.9412,-5.8333,-4.058,-3.0065,-4.8309,-7.7564,-2.0415,-0.06319,5.8537,0.12698,-3.746,-0.98039,-1.8413,0.96154,0.0,-2.0415,0.94787,-1.9589
