0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-5.8537,0.98522,-15.523,-7.055,2.9412,2.8986,1.877,-7.7831,-1.0794,9.7087,2.9206,1.0207,-1.9512,2.9841,0.06441,0.96154,-2.0513,-4.7393,-5.7504
-8.7805,-1.9704,-14.557,-6.0841,0.0,0.0,0.90615,-7.7831,-0.12698,6.7961,0.06349,2.9346,-3.9024,2.0317,0.06441,0.0,4.6795,-5.6872,3.7283
-6.8293,0.0,-11.659,-3.1715,1.9608,1.9324,1.877,-8.74,1.7778,0.97087,-1.8413,1.9777,-3.9024,-0.8254,-1.868,-1.9231,7.5641,-3.7915,4.6761
-4.878,0.0,-11.659,-4.1424,0.98039,1.9324,0.90615,-9.697,-0.12698,-2.9126,-2.7937,-1.8501,-2.9268,-1.7778,-3.8003,-3.8462,3.7179,1.8957,4.6761
-4.878,-0.98522,-11.659,-7.055,-2.9412,-0.96618,-1.0356,-7.7831,-2.0317,-2.9126,-0.88889,-0.89314,-0.97561,0.12698,-0.90177,-1.9231,4.6795,3.7915,10.363
-8.7805,-5.9113,-16.49,-16.764,-10.784,-5.7971,-5.89,-2.9984,-8.6984,-6.7961,-6.6032,-2.807,-6.8293,-4.6349,-4.7665,-5.7692,2.7564,-5.6872,3.7283
-11.707,-8.867,-16.49,-21.618,-14.706,-9.6618,-2.9773,-3.9553,-12.508,-7.767,-9.4603,-5.6778,-4.878,-5.5873,-5.7327,-8.6538,-0.12821,1.8957,0.88468
-11.707,-5.9113,-12.625,-18.706,-14.706,-9.6618,-2.9773,-3.9553,-12.508,-10.68,-12.317,-5.6778,-5.8537,-8.4444,-9.5974,-11.538,-3.0128,-2.8436,-4.8025
-11.707,-6.8966,-7.7939,-14.822,-14.706,-10.628,-2.9773,-2.9984,-11.556,-14.563,-14.222,-15.247,-5.8537,-9.3968,-12.496,-13.462,-4.9359,-4.7393,-5.7504
-6.8293,-1.9704,-5.8615,-10.939,-11.765,-11.594,-4.9191,-2.9984,-9.6508,-16.505,-17.079,-16.204,0.0,-8.4444,-14.428,-16.346,-9.7436,4.7393,-8.594
0.0,2.9557,-1.9968,-3.1715,-4.902,-5.7971,-4.9191,-2.9984,-4.8889,-12.621,-13.27,-12.376,0.97561,-6.5397,-13.462,-14.423,-10.705,-2.8436,-4.8025
1.9512,1.9704,1.868,2.6537,0.0,-1.9324,-7.8317,-2.9984,0.8254,-5.8252,-8.5079,-9.5056,-1.9512,-4.6349,-10.564,-10.577,-8.7821,-9.4787,-7.6461
0.97561,0.98522,1.868,8.479,5.8824,-0.96618,-6.8608,5.614,6.5397,4.8544,-1.8413,-6.6348,-0.97561,0.12698,-4.7665,-5.7692,-9.7436,-10.427,-10.49
2.9268,0.98522,2.8341,12.362,10.784,4.8309,-3.9482,6.571,14.159,16.505,5.7778,-5.6778,4.878,6.7937,3.9291,0.96154,-9.7436,-5.6872,-8.594
4.878,0.0,0.90177,13.333,13.725,8.6957,-2.0065,3.7002,16.063,23.301,10.54,-7.5917,8.7805,10.603,10.692,7.6923,-8.7821,7.5829,1.8325
9.7561,8.867,3.8003,14.304,17.647,12.56,1.877,4.6571,17.016,25.243,12.444,-8.5486,9.7561,11.556,13.591,11.538,-7.8205,11.374,6.5719
3.9024,6.8966,-2.963,8.479,9.8039,4.8309,-2.9773,-2.9984,11.302,19.417,8.6349,-7.5917,9.7561,10.603,11.659,11.538,-4.9359,14.218,9.4155
0.97561,4.9261,-8.7601,2.6537,4.902,1.9324,-7.8317,-7.7831,7.4921,12.621,3.873,-2.807,8.7805,7.746,9.7262,9.6154,4.6795,11.374,14.155
-3.9024,0.0,-14.557,-2.2006,0.0,-1.9324,-9.7735,-9.697,0.8254,3.8835,-1.8413,-1.8501,4.878,2.9841,1.0306,2.8846,9.4872,2.8436,8.4676
-9.7561,-4.9261,-20.354,-6.0841,-1.9608,-2.8986,-8.8026,-7.7831,0.8254,2.9126,-0.88889,-0.89314,5.8537,3.9365,0.06441,0.96154,14.295,5.6872,16.051
-13.659,-11.823,-23.253,-13.851,-7.8431,-7.7295,-8.8026,-7.7831,-2.9841,-4.8544,-1.8413,-3.764,2.9268,1.0794,-4.7665,-4.8077,10.449,0.94787,7.5197
-16.585,-14.778,-23.253,-17.735,-12.745,-15.459,-5.89,-8.74,-7.746,-11.65,-8.5079,-6.6348,0.0,-3.6825,-11.53,-14.423,-7.8205,-5.6872,-10.49
-17.561,-12.808,-21.32,-19.676,-14.706,-16.425,-6.8608,-8.74,-10.603,-12.621,-14.222,-6.6348,-1.9512,-6.5397,-13.462,-17.308,-10.705,-5.6872,-14.281
-17.561,-9.8522,-18.422,-18.706,-13.725,-13.527,-7.8317,-10.654,-11.556,-10.68,-13.27,-2.807,-0.97561,-4.6349,-11.53,-11.538,2.7564,2.8436,-1.9589
-14.634,-3.9409,-15.523,-17.735,-9.8039,-5.7971,-3.9482,-11.611,-9.6508,-4.8544,-7.5556,-0.89314,-0.97561,-3.6825,-7.6651,-5.7692,3.7179,1.8957,-1.9589
-10.732,1.9704,-12.625,-18.706,-9.8039,-2.8986,3.8188,-9.697,-12.508,-5.8252,-3.746,-0.89314,-5.8537,-7.4921,-7.6651,-3.8462,-3.9744,-6.6351,-3.8547
-6.8293,5.9113,-9.7262,-16.764,-9.8039,0.0,8.6731,-5.8692,-14.413,-12.621,-1.8413,1.0207,-8.7805,-9.3968,-7.6651,-3.8462,-7.8205,-14.218,-9.5419
-4.878,3.9409,-3.9291,-12.88,-8.8235,-0.96618,9.644,-7.7831,-16.317,-18.447,-0.88889,5.8054,-8.7805,-11.302,-8.6312,-3.8462,-7.8205,-10.427,-8.594
-2.9268,-0.98522,3.8003,-7.055,-8.8235,-3.8647,7.7023,-3.9553,-12.508,-13.592,-0.88889,7.7193,-5.8537,-9.3968,-7.6651,-1.9231,-2.0513,-3.7915,-1.0111
