0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-2.92680, -3.92910, -0.06568, -2.14160, -3.90240, -2.01010, -9.11220,  2.91870,  1.98020, -0.13201, -0.06734,  0.90615,  6.04270,  4.02010,  3.03030,  9.00000, 10.86200,  8.59400, 12.87400
0.0,-0.06441,2.89,3.0397,1.9512,2.0101,-1.072,6.8988,6.9307,3.8284,1.9529,0.90615,7.0279,6.0302,6.0606,10.0,8.9106,9.5419,11.888
1.9512,1.868,3.8752,6.1485,4.878,6.0302,4.9581,6.8988,7.9208,7.7888,4.9832,-1.0356,8.9984,9.0452,9.0909,10.0,6.9593,10.49,11.888
4.878,6.6989,4.8604,9.2573,8.7805,10.05,6.9682,6.8988,10.891,9.769,8.0135,-12.686,9.9836,11.055,10.101,11.0,8.9106,11.438,10.903
5.8537,7.6651,5.8456,9.2573,8.7805,13.065,5.9631,1.9237,9.901,10.759,10.034,4.7896,10.969,12.06,11.111,12.0,10.862,12.385,11.888
4.878,3.8003,4.8604,7.1848,6.8293,9.0452,1.943,2.9187,8.9109,7.7888,7.0034,15.469,10.969,11.055,10.101,11.0,9.8862,11.438,9.9179
5.8537,4.7665,7.8161,9.2573,7.8049,9.0452,0.93802,5.9038,10.891,9.769,9.0236,6.7314,11.954,13.065,11.111,12.0,10.862,12.385,10.903
6.8293,3.8003,9.7865,11.33,8.7805,9.0452,0.93802,7.8939,11.881,11.749,10.034,6.7314,10.969,14.07,13.131,14.0,11.837,13.333,11.888
6.8293,3.8003,8.8013,11.33,8.7805,11.055,0.93802,6.8988,10.891,12.739,11.044,1.877,8.0131,12.06,13.131,16.0,11.837,11.438,12.874
8.7805,5.7327,10.772,12.366,11.707,14.07,-1.072,2.9187,10.891,13.729,13.064,4.7896,5.0575,9.0452,13.131,15.0,11.837,8.594,10.903
10.732,7.6651,11.757,15.475,14.634,16.08,5.9631,9.8839,13.861,15.71,16.094,7.7023,6.0427,11.055,14.141,17.0,13.789,9.5419,11.888
6.8293,6.6989,8.8013,12.366,12.683,15.075,12.998,10.879,11.881,13.729,16.094,9.644,7.0279,12.06,14.141,17.0,13.789,9.5419,11.888
3.9024,3.8003,5.8456,9.2573,8.7805,12.06,4.9581,6.8988,9.901,8.7789,12.054,7.7023,6.0427,9.0452,11.111,13.0,11.837,8.594,8.9327
3.9024,2.8341,7.8161,10.294,8.7805,11.055,-0.067,7.8939,9.901,8.7789,10.034,6.7314,7.0279,11.055,10.101,12.0,11.837,9.5419,8.9327
5.8537,2.8341,7.8161,11.33,10.732,12.06,1.943,5.9038,10.891,9.769,11.044,6.7314,6.0427,11.055,10.101,12.0,12.813,9.5419,8.9327
2.9268,4.7665,5.8456,10.294,10.732,13.065,6.9682,5.9038,9.901,10.759,11.044,4.7896,7.0279,10.05,9.0909,11.0,11.837,8.594,9.9179
2.9268,5.7327,3.8752,9.2573,9.7561,14.07,6.9682,4.9088,8.9109,10.759,10.034,2.8479,5.0575,8.0402,7.0707,10.0,10.862,6.6983,6.9622
2.9268,3.8003,4.8604,8.2211,8.7805,12.06,5.9631,1.9237,7.9208,9.769,9.0236,3.8188,4.0722,8.0402,7.0707,9.0,10.862,5.7504,6.9622
2.9268,1.868,5.8456,8.2211,8.7805,9.0452,-2.0771,0.92869,8.9109,10.759,10.034,6.7314,6.0427,10.05,9.0909,12.0,13.789,9.5419,9.9179
2.9268,-0.06441,6.8309,7.1848,5.8537,8.0402,0.93802,1.9237,6.9307,8.7789,11.044,-8.8026,8.0131,12.06,11.111,13.0,13.789,12.385,12.874
2.9268,0.90177,5.8456,6.1485,6.8293,10.05,3.9531,5.9038,8.9109,9.769,11.044,5.7605,7.0279,10.05,11.111,13.0,11.837,10.49,10.903
1.9512,3.8003,5.8456,7.1848,8.7805,12.06,1.943,7.8939,7.9208,10.759,11.044,17.411,6.0427,9.0452,10.101,11.0,8.9106,7.6461,7.9475
4.878,4.7665,7.8161,10.294,11.707,13.065,7.9732,6.8988,8.9109,13.729,13.064,9.644,7.0279,10.05,11.111,11.0,10.862,8.594,9.9179
4.878,2.8341,7.8161,9.2573,9.7561,9.0452,5.9631,7.8939,8.9109,10.759,11.044,9.644,8.0131,10.05,11.111,11.0,10.862,8.594,9.9179
0.97561,-1.0306,1.9048,2.0035,2.9268,4.0201,-0.067,0.92869,2.9703,4.8185,5.9933,6.7314,3.087,5.0251,7.0707,8.0,8.9106,5.7504,6.9622
-2.9268,-3.9291,-1.0509,-3.1779,-0.97561,2.0101,-2.0771,-0.06634,0.0,1.8482,2.963,4.7896,1.1166,2.0101,3.0303,5.0,5.9837,2.9068,4.0066
-3.9024,-7.7939,-1.0509,-4.2142,-2.9268,1.005,-6.0972,-0.06634,-0.9901,1.8482,2.963,2.8479,3.087,2.0101,3.0303,3.0,4.0325,2.9068,3.0213
-4.878,-5.8615,-0.06568,-2.1416,0.0,4.0201,-5.0921,1.9237,1.9802,3.8284,5.9933,5.7605,6.0427,5.0251,7.0707,6.0,5.0081,5.7504,4.9918
-2.9268,-2.963,1.9048,0.96718,0.97561,4.0201,0.93802,2.9187,4.9505,5.8086,5.9933,1.877,6.0427,6.0302,7.0707,7.0,5.0081,5.7504,5.977
2.9268,2.8341,3.8752,6.1485,6.8293,8.0402,5.9631,5.9038,7.9208,7.7888,8.0135,2.8479,4.0722,5.0251,7.0707,8.0,7.935,5.7504,5.977
4.878,3.8003,5.8456,9.2573,9.7561,11.055,4.9581,4.9088,6.9307,8.7789,9.0236,4.7896,4.0722,5.0251,6.0606,7.0,8.9106,4.8025,5.977
2.9268,1.868,2.89,6.1485,7.8049,10.05,3.9531,1.9237,3.9604,5.8086,5.9933,4.7896,1.1166,2.0101,3.0303,4.0,5.9837,2.9068,3.0213
0.0,1.868,1.9048,4.076,5.8537,9.0452,6.9682,0.92869,1.9802,4.8185,4.9832,4.7896,0.13136,1.005,2.0202,2.0,5.0081,1.0111,2.0361
0.97561,3.8003,-0.06568,3.0397,4.878,9.0452,6.9682,-5.0415,1.9802,4.8185,5.9933,2.8479,-3.8095,-1.005,1.0101,1.0,4.0325,0.06319,1.0509
0.97561,2.8341,-2.0361,0.96718,0.97561,6.0302,5.9631,-4.0464,-1.9802,0.85809,4.9832,2.8479,-3.8095,-3.0151,0.0,0.0,4.0325,-2.7804,-0.91954
0.0,2.8341,-2.0361,-1.1054,0.97561,7.0352,5.9631,-3.0514,-1.9802,-0.13201,3.9731,3.8188,-2.8243,-2.0101,0.0,2.0,5.9837,-0.88468,0.06568
0.0,0.90177,-1.0509,-0.06909,0.97561,8.0402,2.9481,-2.0564,-1.9802,0.85809,3.9731,1.877,-1.8391,-2.0101,1.0101,2.0,4.0325,-2.7804,1.0509
0.0,0.90177,-0.06568,0.96718,3.9024,9.0452,4.9581,2.9187,1.9802,2.8383,4.9832,-17.54,-0.85386,-2.0101,0.0,1.0,1.1057,-3.7283,-1.9048
1.9512,1.868,1.9048,4.076,4.878,8.0402,4.9581,2.9187,4.9505,5.8086,5.9933,-3.9482,1.1166,0.0,1.0101,1.0,1.1057,-3.7283,-0.91954
0.97561,0.90177,1.9048,3.0397,2.9268,4.0201,0.93802,2.9187,2.9703,3.8284,3.9731,10.615,0.13136,1.005,0.0,1.0,2.0813,-2.7804,-0.91954
-0.97561,-1.9968,-0.06568,0.96718,0.0,2.0101,1.943,1.9237,0.0,0.85809,0.94276,5.7605,-1.8391,0.0,0.0,1.0,1.1057,-1.8325,0.06568
-0.97561,-2.963,-0.06568,-0.06909,-0.97561,1.005,-1.072,-2.0564,-0.9901,-1.1221,0.94276,2.8479,-2.8243,-1.005,0.0,1.0,2.0813,-1.8325,0.06568
-0.97561,-2.963,1.9048,2.0035,0.97561,3.0151,-1.072,-1.0614,1.9802,0.85809,2.963,3.8188,-0.85386,1.005,2.0202,3.0,4.0325,1.0111,3.0213
-0.97561,-2.963,2.89,3.0397,1.9512,5.0251,0.93802,1.9237,2.9703,2.8383,4.9832,0.90615,0.13136,1.005,2.0202,2.0,2.0813,0.06319,2.0361
-2.9268,-2.963,-0.06568,0.96718,0.0,4.0201,1.943,2.9187,1.9802,-0.13201,0.94276,-2.0065,-2.8243,-3.0151,-2.0202,-1.0,-0.84553,-3.7283,-2.89
-2.9268,-1.0306,0.91954,0.96718,0.0,3.0151,0.93802,1.9237,0.9901,-0.13201,1.9529,-1.0356,-0.85386,-2.0101,-1.0101,-1.0,0.13008,-2.7804,-0.91954
-0.97561,0.90177,-0.06568,-1.1054,-0.97561,1.005,-5.0921,-5.0415,-1.9802,-1.1221,-0.06734,-2.0065,-3.8095,-4.0201,-2.0202,-1.0,0.13008,-2.7804,-0.91954
0.97561,1.868,-1.0509,-0.06909,0.0,1.005,-5.0921,-5.0415,-2.9703,0.85809,0.94276,-2.9773,-2.8243,-3.0151,0.0,0.0,0.13008,-2.7804,0.06568
0.97561,0.90177,-2.0361,-0.06909,0.97561,1.005,-2.0771,-5.0415,-0.9901,0.85809,-1.0774,-2.9773,-3.8095,-4.0201,-1.0101,-1.0,-1.8211,-2.7804,-1.9048
0.0,-0.06441,-1.0509,-0.06909,-0.97561,0.0,-2.0771,-3.0514,-2.9703,-1.1221,-2.0875,-6.8608,-3.8095,-4.0201,-3.0303,-4.0,-4.748,-3.7283,-4.8604
2.9268,-0.06441,-0.06568,2.0035,1.9512,3.0151,-3.0821,-1.0614,0.0,0.85809,-0.06734,-6.8608,-2.8243,-3.0151,-3.0303,-3.0,-5.7236,-2.7804,-3.8752
4.878,3.8003,1.9048,7.1848,7.8049,9.0452,-2.0771,1.9237,1.9802,5.8086,4.9832,-4.9191,1.1166,1.005,1.0101,0.0,-2.7967,1.0111,0.06568
3.9024,2.8341,-0.06568,6.1485,8.7805,12.06,-2.0771,-1.0614,1.9802,5.8086,5.9933,-2.0065,-0.85386,0.0,2.0202,2.0,1.1057,1.9589,2.0361
2.9268,4.7665,-0.06568,6.1485,7.8049,12.06,3.9531,-2.0564,0.9901,7.7888,8.0135,2.8479,-0.85386,2.0101,5.0505,5.0,5.0081,4.8025,5.977
0.0,4.7665,-3.0213,3.0397,5.8537,10.05,6.9682,-4.0464,0.9901,6.7987,9.0236,6.7314,-1.8391,1.005,5.0505,6.0,6.9593,2.9068,5.977
-3.9024,0.90177,-4.9918,-0.06909,0.0,5.0251,4.9581,-6.0365,-1.9802,3.8284,5.9933,3.8188,-4.7947,-2.0101,2.0202,3.0,5.0081,-0.88468,2.0361
0.0,-0.06441,-1.0509,2.0035,2.9268,7.0352,5.9631,-2.0564,0.9901,4.8185,7.0034,1.877,-2.8243,0.0,3.0303,3.0,5.0081,-0.88468,1.0509
2.9268,3.8003,0.91954,5.1123,6.8293,11.055,5.9631,-2.0564,2.9703,5.8086,7.0034,-2.0065,-2.8243,2.0101,4.0404,4.0,2.0813,-2.7804,0.06568
0.97561,4.7665,-2.0361,3.0397,4.878,9.0452,2.9481,-6.0365,0.0,4.8185,4.9832,-3.9482,-2.8243,2.0101,2.0202,2.0,0.13008,-1.8325,0.06568
-0.97561,1.868,-4.0066,-1.1054,0.97561,3.0151,-0.067,-9.0216,-2.9703,-1.1221,0.94276,-19.482,-3.8095,-1.005,-1.0101,0.0,-0.84553,-1.8325,-0.91954
0.0,0.90177,-2.0361,-1.1054,-1.9512,1.005,-3.0821,-3.0514,-2.9703,-4.0924,-1.0774,-2.9773,-0.85386,0.0,-3.0303,-3.0,-2.7967,-0.88468,-1.9048
5.8537,2.8341,4.8604,5.1123,4.878,8.0402,-1.072,6.8988,4.9505,1.8482,1.9529,11.586,4.0722,6.0302,3.0303,1.0,2.0813,4.8025,4.0066
6.8293,3.8003,5.8456,7.1848,7.8049,11.055,4.9581,4.9088,4.9505,4.8185,4.9832,5.7605,4.0722,6.0302,5.0505,4.0,4.0325,4.8025,4.9918
0.97561,0.90177,-4.0066,-4.2142,-3.9024,0.0,2.9481,-6.0365,-6.9307,-6.0726,-4.1077,-2.9773,-7.7504,-7.0352,-6.0606,-6.0,-4.748,-6.5719,-5.8456
-3.9024,-1.9968,-8.9327,-11.468,-12.683,-9.0452,-4.0871,-12.007,-13.861,-13.993,-11.178,-11.715,-12.677,-13.065,-14.141,-13.0,-12.553,-13.207,-11.757
-2.9268,-1.0306,-8.9327,-8.3592,-9.7561,-9.0452,-2.0771,-9.0216,-9.901,-13.003,-8.1481,-7.8317,-8.7356,-10.05,-12.121,-10.0,-6.6992,-9.4155,-8.8013
-4.878,-4.8953,-9.9179,-9.3955,-11.707,-10.05,-3.0821,-10.017,-10.891,-12.013,-8.1481,-5.89,-7.7504,-9.0452,-10.101,-8.0,-2.7967,-6.5719,-4.8604
-7.8049,-8.7601,-12.874,-12.504,-12.683,-12.06,-7.1022,-10.017,-9.901,-12.013,-7.138,-2.9773,-5.78,-7.0352,-8.0808,-6.0,-0.84553,-4.6761,-2.89
-9.7561,-11.659,-13.859,-14.577,-14.634,-11.055,-11.122,-11.012,-10.891,-10.033,-6.1279,-2.0065,-3.8095,-4.0201,-3.0303,-4.0,0.13008,-1.8325,-0.91954
-9.7561,-10.692,-12.874,-12.504,-11.707,-8.0402,-9.1122,-11.012,-6.9307,-7.0627,-4.1077,-3.9482,-0.85386,0.0,2.0202,1.0,1.1057,1.9589,4.0066
-7.8049,-6.8277,-13.859,-9.3955,-8.7805,-5.0251,-4.0871,-10.017,-6.9307,-7.0627,-3.0976,-3.9482,-1.8391,-1.005,1.0101,-1.0,-0.84553,1.0111,2.0361
-7.8049,-4.8953,-13.859,-9.3955,-7.8049,-5.0251,-3.0821,-13.997,-8.9109,-9.0429,-7.138,-9.7735,-4.7947,-6.0302,-5.0505,-7.0,-3.7724,-3.7283,-4.8604
-7.8049,-4.8953,-12.874,-9.3955,-7.8049,-6.0302,-7.1022,-13.997,-8.9109,-10.033,-11.178,-10.744,-3.8095,-8.0402,-10.101,-12.0,-5.7236,-5.624,-6.8309
-4.878,-2.963,-9.9179,-4.2142,-2.9268,-3.0151,-1.072,-5.0415,-2.9703,-4.0924,-7.138,-6.8608,2.1018,-2.0101,-5.0505,-9.0,-3.7724,-0.88468,-2.89
-1.9512,-0.06441,-5.977,-1.1054,0.97561,2.0101,-1.072,0.92869,0.0,-0.13201,-2.0875,-3.9482,4.0722,1.005,-2.0202,-4.0,0.13008,2.9068,1.0509
-0.97561,1.868,-4.0066,-0.06909,1.9512,3.0151,-0.067,2.9187,0.0,0.85809,0.94276,-3.9482,5.0575,4.0201,3.0303,1.0,1.1057,6.6983,5.977
-0.97561,0.90177,-3.0213,0.96718,2.9268,4.0201,-1.072,2.9187,0.9901,0.85809,0.94276,-23.366,5.0575,5.0251,7.0707,6.0,2.0813,10.49,10.903
-0.97561,-1.9968,-1.0509,0.96718,3.9024,2.0101,-2.0771,3.9138,0.9901,1.8482,1.9529,-5.89,8.0131,7.0352,9.0909,11.0,6.9593,12.385,15.829
-0.97561,-1.0306,-2.0361,-0.06909,2.9268,-2.0101,-0.067,4.9088,1.9802,2.8383,0.94276,12.557,8.9984,6.0302,9.0909,13.0,12.813,14.281,18.785
-0.97561,-1.9968,-0.06568,-0.06909,1.9512,-3.0151,0.93802,6.8988,1.9802,3.8284,0.94276,6.7314,13.924,10.05,12.121,14.0,14.764,19.021,23.711
-2.9268,-5.8615,-1.0509,-4.2142,-3.9024,-10.05,-5.0921,3.9138,-1.9802,-3.1023,-6.1279,-0.06472,10.969,5.0251,5.0505,5.0,6.9593,15.229,14.844
