0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11.82300, 11.58600, 11.69900,  3.05560,  0.00000,  1.01520, 14.21300, 10.98800,  2.98510, -1.12770,  9.98320, 15.48000,  7.93500,  8.00000,  6.96520, 15.77600, 19.73900, 13.59100, 18.78500
5.9113,4.7896,7.7778,-4.2361,-5.9113,-5.0761,7.1066,1.943,-2.9851,-2.1227,2.9481,6.6992,-2.7967,-4.0,0.0,7.8548,10.915,1.9968,7.9475
1.9704,1.877,-0.06536,-9.4444,-7.8818,-6.0914,2.0305,-8.1072,-5.9701,-0.13267,1.943,1.8211,-9.626,-9.0,-3.9801,3.8944,7.9739,-5.7327,2.0361
3.9409,3.8188,1.8954,-5.2778,-2.9557,-2.0305,4.0609,-13.132,-3.9801,5.8375,6.9682,8.6504,-6.6992,-7.0,-2.9851,4.8845,13.856,-5.7327,1.0509
6.8966,4.7896,5.817,-2.1528,-0.98522,1.0152,6.0914,-13.132,-7.9602,4.8425,5.9631,10.602,-8.6504,-13.0,-8.9552,-3.0363,9.9346,-13.462,-9.7865
7.8818,6.7314,5.817,-1.1111,-0.98522,3.0457,5.0761,-19.162,-12.935,2.8524,3.9531,5.7236,-13.528,-18.0,-12.935,-10.957,-7.7124,-23.124,-23.58
9.8522,8.6731,9.7386,3.0556,3.9409,7.1066,9.1371,1.943,-4.9751,8.8226,9.9832,6.6992,-8.6504,-10.0,-3.9801,-4.0264,-4.7712,-20.225,-21.609
11.823,10.615,11.699,5.1389,6.8966,11.168,12.183,26.064,3.9801,13.798,16.013,9.626,3.0569,1.0,6.9652,6.8647,6.0131,-8.6312,-10.772
10.837,10.615,9.7386,5.1389,6.8966,12.183,14.213,21.039,7.9602,13.798,17.018,13.528,8.9106,9.0,12.935,13.795,9.9346,6.8277,4.9918
9.8522,10.615,9.7386,3.0556,5.9113,13.198,15.228,-6.0972,5.9701,9.8176,17.018,15.48,8.9106,13.0,15.92,20.726,17.778,23.253,23.711
9.8522,10.615,10.719,2.0139,2.9557,11.168,15.228,-13.132,3.9801,4.8425,16.013,21.333,11.837,14.0,15.92,24.686,23.66,30.982,34.548
10.837,10.615,12.68,2.0139,-0.98522,7.1066,14.213,-3.0821,3.9801,0.86235,11.993,23.285,10.862,11.0,12.935,21.716,24.641,26.151,30.608
9.8522,8.6731,12.68,2.0139,-3.9409,3.0457,11.168,11.993,1.99,-2.1227,5.9631,12.553,8.9106,4.0,5.9701,14.785,21.699,16.49,20.755
8.867,5.7605,13.66,0.97222,-3.9409,0.0,6.0914,0.93802,-0.99502,-4.1128,0.93802,3.7724,4.0325,-3.0,0.0,7.8548,13.856,8.7601,13.859
7.8818,5.7605,9.7386,-1.1111,-4.9261,-1.0152,3.0457,-11.122,-5.9701,-6.1028,-4.0871,0.84553,-5.7236,-10.0,-4.9751,0.92409,5.0327,-0.90177,4.0066
7.8818,7.7023,1.8954,-6.3194,-7.8818,-3.0457,3.0457,-3.0821,-10.945,-12.073,-9.1122,-0.13008,-12.553,-17.0,-12.935,-10.957,-9.6732,-12.496,-10.772
10.837,11.586,6.7974,-3.1944,-4.9261,1.0152,5.0761,10.988,-4.9751,-8.0929,-4.0871,5.7236,-4.748,-10.0,-8.9552,-11.947,-8.6928,-15.395,-18.654
