0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-3.90240,  0.98039, -1.02560,  2.70530,  3.85620, -0.96618,  2.82050,  1.78630,  7.51970,  7.80490,  5.84130, 12.44400, -1.96080,  4.82540,  4.80770, 11.59400, 13.27000, -0.94787,  6.57190
-5.8537,-2.9412,-5.8333,-2.1256,0.91503,0.96618,-1.9872,-1.0845,1.8325,2.9268,1.0794,14.349,-2.9412,1.9683,3.8462,6.7633,10.399,-2.8436,2.7804
-12.683,-2.9412,-5.8333,-2.1256,-0.06536,2.8986,-0.0641,-5.8692,3.7283,2.9268,1.0794,3.873,-0.98039,3.873,3.8462,4.8309,7.5279,0.0,3.7283
-12.683,-3.9216,-5.8333,-1.1594,-0.06536,2.8986,-0.0641,1.7863,7.5197,4.878,3.9365,-1.8413,0.98039,6.7302,2.8846,2.8986,8.4848,1.8957,4.6761
-11.707,-2.9412,-3.9103,-0.19324,0.91503,3.8647,3.7821,8.4848,8.4676,4.878,7.746,-3.746,5.8824,9.5873,5.7692,3.8647,7.5279,3.7915,3.7283
-13.659,-10.784,-4.8718,-3.0918,-2.0261,0.96618,-1.0256,0.82935,3.7283,2.9268,6.7937,1.9683,7.8431,9.5873,5.7692,3.8647,5.614,4.7393,1.8325
-24.39,-24.51,-8.7179,-5.9903,-4.9673,-2.8986,-15.449,-2.0415,1.8325,0.97561,1.0794,9.5873,7.8431,9.5873,0.96154,0.96618,6.571,4.7393,3.7283
-16.585,-13.725,-7.7564,-6.9565,-6.9281,-5.7971,-4.8718,-4.9123,4.6761,0.97561,-2.7302,3.873,6.8627,9.5873,-0.96154,-1.9324,3.7002,2.8436,1.8325
-7.8049,0.0,-6.7949,-8.8889,-9.8693,-10.628,2.8205,-2.9984,3.7283,-0.97561,-0.8254,-3.746,5.8824,8.6349,1.9231,0.96618,0.82935,2.8436,2.7804
-11.707,0.98039,-7.7564,-7.9227,-9.8693,-9.6618,-2.9487,2.7432,0.88468,-3.9024,1.0794,-2.7937,5.8824,5.7778,-0.96154,-1.9324,0.82935,2.8436,1.8325
-3.9024,-0.98039,-2.9487,-5.9903,-7.9085,-5.7971,-1.0256,8.4848,-1.9589,-4.878,2.0317,-2.7937,5.8824,5.7778,-0.96154,-2.8986,-0.12759,1.8957,-1.0111
-2.9268,-4.902,-5.8333,-10.821,-11.83,-10.628,-4.8718,5.614,-7.6461,-8.7805,-6.5397,-1.8413,4.902,4.8254,2.8846,-2.8986,-2.0415,1.8957,-0.06319
-7.8049,-13.725,-5.8333,-8.8889,-12.81,-13.527,-8.7179,-2.0415,-5.7504,-8.7805,-17.016,1.9683,5.8824,5.7778,6.7308,-2.8986,-2.9984,3.7915,1.8325
-3.9024,-8.8235,-1.0256,-5.9903,-13.791,-19.324,-7.7564,-2.9984,-3.8547,-8.7805,-23.683,-11.365,3.9216,4.8254,6.7308,-7.7295,-8.74,0.94787,-1.9589
1.9512,-5.8824,-1.9872,-5.9903,-12.81,-18.357,-8.7179,0.82935,-4.8025,-7.8049,-21.778,-6.6032,4.902,1.9683,3.8462,-10.628,-8.74,1.8957,-2.9068
-2.9268,-6.8627,-1.9872,-5.0242,-8.8889,-11.594,-9.6795,-2.0415,-3.8547,-1.9512,-14.159,-6.6032,4.902,0.06349,1.9231,-7.7295,-8.74,3.7915,-0.06319
-6.8293,-0.98039,-4.8718,-3.0918,-5.9477,-5.7971,-4.8718,5.614,-1.9589,1.9512,-3.6825,-11.365,4.902,-0.88889,0.96154,-4.8309,-9.697,5.6872,-1.0111
-1.9512,-7.8431,-3.9103,-4.058,-5.9477,-5.7971,-1.9872,6.571,-3.8547,-0.97561,-0.8254,-13.27,1.9608,-2.7937,0.0,-3.8647,-10.654,2.8436,-0.06319
2.9268,-3.9216,-1.9872,-5.9903,-3.9869,-2.8986,-5.8333,-3.9553,-5.7504,-4.878,0.12698,4.8254,0.0,-5.6508,0.0,0.96618,-3.9553,1.8957,2.7804
-5.8537,-2.9412,-3.9103,-4.058,-0.06536,0.96618,1.859,-8.74,-8.594,-4.878,2.9841,11.492,-1.9608,-10.413,-3.8462,3.8647,0.82935,4.7393,5.624
-9.7561,-9.8039,-2.9487,-1.1594,2.8758,4.8309,1.859,-3.9553,-7.6461,-1.9512,7.746,4.8254,-2.9412,-8.5079,0.0,8.6957,4.6571,7.5829,11.311
-2.9268,-4.902,-2.9487,-2.1256,2.8758,6.7633,-1.0256,-2.0415,-5.7504,0.97561,12.508,1.0159,-1.9608,-3.746,8.6538,16.425,8.4848,11.374,19.842
3.9024,6.8627,-3.9103,-3.0918,1.8954,9.6618,5.7051,-5.8692,-5.7504,1.9512,14.413,-12.317,-0.98039,-2.7937,10.577,17.391,9.4418,12.322,22.686
-0.97561,1.9608,-4.8718,-3.0918,-1.0458,4.8309,4.7436,-6.8262,-7.6461,-1.9512,5.8413,1.9683,-1.9608,-2.7937,5.7692,8.6957,4.6571,9.4787,14.155
-3.9024,0.98039,-1.0256,-4.058,-3.9869,-2.8986,3.7821,2.7432,-4.8025,-1.9512,-0.8254,12.444,1.9608,1.9683,4.8077,2.8986,1.7863,6.6351,5.624
-3.9024,3.9216,1.859,-0.19324,-0.06536,0.96618,0.89744,1.7863,-1.0111,0.97561,-5.5873,0.06349,0.98039,1.9683,0.96154,-2.8986,-2.9984,0.94787,0.88468
6.8293,6.8627,6.6667,8.5024,9.7386,10.628,6.6667,-2.9984,3.7283,5.8537,-7.4921,-8.5079,-0.98039,1.0159,-7.6923,-11.594,-6.8262,-3.7915,-2.9068
