0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-11.70700, -3.94090, -5.86150,-12.88000,-13.72500, -8.69570,  4.78960, -4.91230, -9.65080, -4.85440, -1.84130,  9.63320, -5.85370, -6.53970, -1.86800,  1.92310,  6.60260, -9.47870, -1.95890
-10.732,-8.867,0.90177,-7.055,-8.8235,-7.7295,3.8188,-0.12759,-3.9365,1.9417,0.06349,3.8915,-3.9024,0.12698,2.963,3.8462,7.5641,-5.6872,0.88468
-2.9268,-5.9113,4.7665,4.5955,0.98039,-1.9324,1.877,8.4848,6.5397,10.68,4.8254,6.7624,3.9024,9.6508,10.692,6.7308,2.7564,3.7915,-2.9068
0.97561,-3.9409,2.8341,10.421,4.902,0.0,-3.9482,5.614,12.254,15.534,6.7302,-1.8501,2.9268,14.413,13.591,5.7692,1.7949,-1.8957,-1.9589
6.8293,0.98522,7.6651,13.333,9.8039,6.7633,-4.9191,8.4848,19.873,23.301,11.492,-6.6348,12.683,23.937,21.32,8.6538,-2.0513,10.427,9.4155
7.8049,4.9261,9.5974,14.304,12.745,9.6618,-4.9191,11.356,23.683,27.184,12.444,-12.376,14.634,27.746,22.287,5.7692,-6.859,11.374,3.7283
5.8537,3.9409,8.6312,14.304,12.745,7.7295,-5.89,5.614,22.73,24.272,7.6825,-11.419,11.707,27.746,20.354,3.8462,-4.9359,6.6351,-1.0111
8.7805,4.9261,6.6989,16.246,14.706,9.6618,-6.8608,7.5279,22.73,20.388,3.873,-11.419,11.707,25.841,17.456,2.8846,0.83333,3.7915,0.88468
8.7805,2.9557,6.6989,16.246,13.725,3.8647,-8.8026,5.614,19.873,15.534,0.06349,-10.463,13.659,22.032,11.659,0.96154,3.7179,5.6872,4.6761
8.7805,1.9704,5.7327,15.275,10.784,0.96618,-9.7735,6.571,17.968,13.592,-1.8413,-10.463,16.585,18.222,8.7601,0.96154,2.7564,8.5308,5.624
8.7805,0.98522,4.7665,15.275,10.784,0.96618,-5.89,10.399,15.111,12.621,1.0159,-9.5056,18.537,16.317,8.7601,4.8077,5.641,14.218,16.051
5.8537,2.9557,0.90177,10.421,8.8235,0.96618,-5.89,6.571,9.3968,6.7961,-0.88889,-3.764,13.659,11.556,6.8277,5.7692,6.6026,10.427,14.155
