0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
48.515,39.741,26.535,29.828,24.51,18.274,22.155,19.834,18.905,17.867,18.114,11.577,22.569,25.126,28.141,26.799,23.545,24.944,25.556
42.574,42.654,29.491,29.828,26.471,20.305,23.165,19.834,21.891,22.867,22.155,15.48,24.52,27.136,31.156,28.789,23.545,26.858,28.497
39.604,37.799,36.388,26.735,25.49,19.289,22.155,22.819,19.9,20.867,20.135,14.504,19.642,23.116,27.136,25.804,19.642,22.073,24.575
41.584,32.945,35.402,24.674,20.588,16.244,16.094,17.844,12.935,13.867,12.054,6.6992,13.789,15.075,17.085,14.859,9.8862,12.504,12.81
43.564,35.858,36.388,26.735,21.569,13.198,12.054,15.854,11.94,10.867,7.0034,1.8211,10.862,10.05,11.055,7.8939,2.0813,7.7193,5.9477
44.554,37.799,38.358,28.797,21.569,13.198,15.084,17.844,13.93,10.867,7.0034,0.84553,7.935,11.055,11.055,7.8939,3.0569,6.7624,6.9281
45.545,36.828,37.373,31.89,24.51,16.244,17.104,19.834,18.905,15.867,14.074,5.7236,8.9106,17.085,18.09,16.849,10.862,11.547,12.81
45.545,35.858,33.432,31.89,23.529,17.259,18.114,22.819,22.886,19.867,20.135,10.602,18.667,25.126,27.136,26.799,19.642,21.116,22.614
42.574,35.858,28.506,27.766,20.588,17.259,19.125,22.819,22.886,19.867,22.155,13.528,26.472,30.151,32.161,31.774,23.545,27.815,28.497
40.594,35.858,28.506,24.674,18.627,15.228,18.114,16.849,18.905,16.867,19.125,13.528,22.569,26.131,29.146,28.789,20.618,24.944,26.536
38.614,34.887,30.476,23.643,17.647,12.183,17.104,16.849,16.915,15.867,15.084,11.577,21.593,22.111,25.126,24.809,17.691,23.03,24.575
38.614,31.974,28.506,21.581,16.667,11.168,14.074,15.854,16.915,14.867,13.064,11.577,22.569,21.106,23.116,21.824,16.715,24.944,22.614
36.634,33.916,28.506,22.612,16.667,13.198,15.084,13.864,18.905,16.867,14.074,11.577,20.618,20.101,23.116,20.829,16.715,23.03,22.614
37.624,31.974,24.565,23.643,19.608,14.213,16.094,12.869,18.905,15.867,13.064,10.602,11.837,16.08,18.09,16.849,16.715,13.461,15.752
33.663,28.091,23.58,19.519,15.686,13.198,15.084,12.869,16.915,14.867,14.074,9.626,11.837,16.08,16.08,14.859,15.74,12.504,13.791
26.733,24.207,24.565,16.426,14.706,11.168,12.054,13.864,14.925,13.867,13.064,8.6504,9.8862,13.065,13.065,13.864,12.813,8.6762,11.83
24.752,28.091,21.609,18.488,14.706,11.168,11.044,12.869,11.94,12.867,13.064,8.6504,10.862,11.055,13.065,14.859,13.789,10.59,14.771
35.644,32.945,23.58,17.457,15.686,10.152,15.084,10.879,10.945,12.867,12.054,6.6992,9.8862,9.0452,12.06,15.854,14.764,12.504,14.771
42.574,34.887,29.491,20.55,18.627,12.183,17.104,12.869,11.94,13.867,13.064,7.6748,9.8862,10.05,14.07,16.849,14.764,11.547,15.752
39.604,31.974,28.506,20.55,16.667,12.183,15.084,11.874,13.93,13.867,14.074,9.626,11.837,12.06,16.08,18.839,14.764,13.461,16.732
40.594,32.945,25.55,20.55,16.667,16.244,18.114,9.8839,16.915,16.867,19.125,10.602,13.789,19.095,21.106,22.819,16.715,17.289,19.673
38.614,33.916,22.594,19.519,16.667,17.259,19.125,8.8889,19.9,18.867,22.155,13.528,13.789,24.121,27.136,26.799,17.691,20.159,22.614
38.614,33.916,24.565,19.519,16.667,18.274,20.135,9.8839,20.896,19.867,24.175,16.455,20.618,29.146,31.156,30.779,23.545,24.944,28.497
37.624,33.916,26.535,20.55,16.667,18.274,22.155,15.854,20.896,18.867,20.135,12.553,23.545,29.146,29.146,28.789,24.52,25.901,26.536
35.644,30.032,23.58,21.581,13.725,16.244,15.084,15.854,16.915,13.867,14.074,8.6504,20.618,22.111,22.111,21.824,20.618,21.116,19.673
38.614,31.974,25.55,22.612,15.686,15.228,13.064,19.834,17.91,13.867,14.074,9.626,20.618,21.106,20.101,19.834,19.642,21.116,19.673
40.594,35.858,26.535,24.674,18.627,17.259,15.084,22.819,17.91,13.867,13.064,8.6504,21.593,19.095,17.085,15.854,11.837,20.159,15.752
37.624,33.916,26.535,23.643,18.627,17.259,15.084,18.839,15.92,12.867,12.054,6.6992,17.691,16.08,15.075,12.869,8.9106,15.375,13.791
40.594,36.828,28.506,25.704,22.549,19.289,18.114,16.849,16.915,14.867,15.084,12.553,10.862,14.07,15.075,15.854,12.813,10.59,13.791
40.594,33.916,25.55,28.797,23.529,21.32,22.155,13.864,15.92,15.867,16.094,13.528,12.813,15.075,15.075,16.849,11.837,12.504,13.791
40.594,31.974,24.565,28.797,24.51,23.35,23.165,10.879,13.93,14.867,17.104,12.553,7.935,12.06,15.075,17.844,12.813,10.59,12.81
36.634,36.828,28.506,25.704,24.51,25.381,23.165,8.8889,9.9502,13.867,16.094,11.577,4.0325,9.0452,12.06,13.864,8.9106,5.8054,8.8889
40.594,38.77,27.521,25.704,29.412,28.426,25.185,6.8988,13.93,16.867,17.104,10.602,5.9837,11.055,13.065,13.864,10.862,6.7624,7.9085
43.564,41.683,30.476,28.797,32.353,29.442,25.185,11.874,19.9,22.867,21.145,13.528,11.837,16.08,18.09,17.844,14.764,12.504,12.81
38.614,35.858,26.535,26.735,27.451,23.35,21.145,10.879,20.896,20.867,21.145,16.455,14.764,17.085,18.09,18.839,15.74,14.418,14.771
32.673,29.061,20.624,23.643,20.588,18.274,19.125,9.8839,16.915,17.867,19.125,12.553,12.813,15.075,17.085,18.839,14.764,11.547,14.771
34.653,29.061,21.609,21.581,20.588,17.259,16.094,9.8839,13.93,15.867,18.114,10.602,8.9106,15.075,18.09,19.834,17.691,13.461,15.752
31.683,28.091,22.594,21.581,19.608,17.259,17.104,10.879,12.935,15.867,17.104,11.577,12.813,17.085,20.101,20.829,18.667,17.289,17.712
28.713,29.061,21.609,18.488,17.647,14.213,15.084,13.864,10.945,12.867,13.064,10.602,15.74,15.075,16.08,15.854,13.789,16.332,14.771
31.683,30.032,24.565,17.457,15.686,14.213,16.094,13.864,7.9602,8.8667,8.0135,8.6504,12.813,9.0452,10.05,8.8889,8.9106,10.59,10.85
32.673,31.003,26.535,18.488,15.686,16.244,19.125,13.864,6.9652,6.8667,5.9933,8.6504,10.862,6.0302,5.0251,3.9138,4.0325,4.8485,4.9673
30.693,29.061,25.55,16.426,10.784,12.183,17.104,11.874,5.9701,2.8667,2.963,5.7236,7.935,2.0101,1.005,1.9237,4.0325,2.9346,1.0458
28.713,25.178,21.609,17.457,9.8039,11.168,15.084,14.859,9.9502,5.8667,8.0135,7.6748,10.862,6.0302,5.0251,6.8988,10.862,6.7624,6.9281
29.703,23.236,21.609,17.457,11.765,13.198,15.084,15.854,11.94,8.8667,11.044,9.626,9.8862,7.0352,8.0402,10.879,11.837,8.6762,8.8889
27.723,25.178,23.58,14.364,11.765,14.213,17.104,10.879,9.9502,8.8667,11.044,10.602,8.9106,8.0402,9.0452,10.879,8.9106,8.6762,8.8889
29.703,25.178,21.609,13.333,11.765,15.228,17.104,5.9038,6.9652,6.8667,7.0034,6.6992,2.0813,6.0302,6.0302,5.9038,4.0325,4.8485,3.9869
29.703,26.149,22.594,14.364,11.765,15.228,14.074,3.9138,3.9801,4.8667,3.9731,7.6748,-0.84553,5.0251,4.0201,1.9237,1.1057,3.8915,2.0261
32.673,29.061,21.609,15.395,12.745,12.183,17.104,2.9187,5.9701,3.8667,3.9731,5.7236,0.13008,3.0151,2.0101,0.92869,0.13008,3.8915,0.06536
34.653,32.945,24.565,22.612,18.627,16.244,16.094,8.8889,14.925,11.867,11.044,8.6504,8.9106,10.05,8.0402,6.8988,4.0325,9.6332,3.9869
35.644,29.061,29.491,26.735,21.569,16.244,17.104,14.859,18.905,15.867,16.094,8.6504,12.813,13.065,12.06,10.879,6.9593,16.332,7.9085
24.752,26.149,29.491,25.704,20.588,16.244,16.094,15.854,15.92,15.867,17.104,6.6992,13.789,14.07,13.065,13.864,10.862,17.289,12.81
28.713,27.12,24.565,20.55,18.627,15.228,14.074,12.869,12.935,13.867,14.074,4.748,14.764,12.06,13.065,11.874,6.9593,18.246,12.81
36.634,28.091,23.58,21.581,18.627,17.259,17.104,14.859,12.935,14.867,12.054,6.6992,11.837,12.06,12.06,7.8939,0.13008,16.332,10.85
35.644,31.003,23.58,24.674,20.588,19.289,17.104,11.874,12.935,13.867,11.044,5.7236,5.0081,7.0352,7.0352,3.9138,-1.8211,8.6762,4.9673
35.644,32.945,24.565,24.674,20.588,20.305,19.125,8.8889,12.935,11.867,10.034,6.6992,5.9837,5.0251,5.0251,1.9237,-0.84553,6.7624,3.9869
31.683,29.061,22.594,20.55,17.647,18.274,20.135,10.879,14.925,10.867,11.044,7.6748,12.813,10.05,8.0402,5.9038,1.1057,12.504,7.9085
29.703,27.12,19.639,18.488,14.706,16.244,16.094,12.869,15.92,10.867,12.054,6.6992,16.715,14.07,13.065,10.879,5.0081,15.375,10.85
27.723,25.178,16.683,16.426,12.745,11.168,12.054,10.879,14.925,11.867,12.054,6.6992,16.715,16.08,17.085,13.864,8.9106,17.289,13.791
28.713,22.265,16.683,18.488,14.706,12.183,11.044,11.874,16.915,14.867,13.064,6.6992,16.715,18.09,19.095,13.864,7.935,18.246,13.791
31.683,25.178,21.609,22.612,19.608,16.244,10.034,14.859,18.905,18.867,14.074,7.6748,15.74,19.095,18.09,12.869,5.9837,18.246,13.791
30.693,29.061,23.58,27.766,23.529,17.259,11.044,12.869,19.9,17.867,13.064,5.7236,15.74,18.09,15.075,9.8839,5.0081,18.246,11.83
28.713,24.207,22.594,23.643,20.588,17.259,12.054,13.864,18.905,13.867,12.054,5.7236,14.764,17.085,13.065,8.8889,4.0325,12.504,9.8693
27.723,21.294,20.624,16.426,15.686,13.198,13.064,9.8839,15.92,10.867,11.044,4.748,8.9106,13.065,10.05,7.8939,2.0813,3.8915,2.0261
25.743,22.265,23.58,15.395,13.725,12.183,16.094,11.874,14.925,10.867,13.064,5.7236,16.715,17.085,14.07,11.874,6.9593,10.59,7.9085
27.723,25.178,24.565,17.457,13.725,12.183,12.054,13.864,10.945,7.8667,10.034,4.748,14.764,13.065,12.06,11.874,8.9106,9.6332,7.9085
27.723,25.178,18.654,16.426,12.745,13.198,11.044,13.864,4.9751,4.8667,5.9933,4.748,6.9593,6.0302,6.0302,8.8889,8.9106,3.8915,5.9477
26.733,22.265,10.772,11.271,10.784,11.168,13.064,9.8839,0.99502,1.8667,2.963,3.7724,6.9593,2.0101,1.005,2.9187,4.0325,3.8915,3.0065
24.752,23.236,15.698,11.271,12.745,14.213,18.114,7.8939,2.9851,2.8667,4.9832,8.6504,8.9106,4.0201,1.005,2.9187,3.0569,5.8054,4.9673
24.752,26.149,17.668,10.241,15.686,14.213,17.104,5.9038,3.9801,3.8667,7.0034,11.577,5.0081,3.0151,2.0101,2.9187,5.0081,3.8915,4.9673
30.693,27.12,11.757,16.426,16.667,15.228,14.074,4.9088,4.9751,4.8667,9.0236,9.626,5.9837,5.0251,5.0251,5.9038,4.0325,6.7624,4.9673
18.812,23.236,13.727,19.519,18.627,16.244,14.074,4.9088,7.9602,8.8667,13.064,7.6748,9.8862,10.05,10.05,8.8889,6.9593,9.6332,6.9281
18.812,21.294,17.668,17.457,17.647,15.228,10.034,5.9038,8.9552,8.8667,12.054,6.6992,6.9593,8.0402,9.0452,9.8839,9.8862,6.7624,6.9281
27.723,24.207,20.624,18.488,16.667,13.198,10.034,10.879,9.9502,8.8667,7.0034,4.748,9.8862,8.0402,8.0402,6.8988,6.9593,5.8054,4.9673
30.693,23.236,22.594,22.612,17.647,12.183,12.054,20.829,13.93,8.8667,4.9832,4.748,15.74,12.06,8.0402,4.9088,4.0325,10.59,6.9281
24.752,15.469,24.565,18.488,12.745,11.168,9.0236,18.839,11.94,6.8667,3.9731,1.8211,11.837,10.05,7.0352,2.9187,1.1057,8.6762,4.9673
22.772,16.44,20.624,16.426,10.784,11.168,11.044,14.859,8.9552,4.8667,4.9832,-2.0813,5.9837,7.0352,5.0251,3.9138,0.13008,3.8915,3.0065
23.762,16.44,16.683,15.395,10.784,11.168,13.064,10.879,9.9502,7.8667,9.0236,2.7967,6.9593,7.0352,8.0402,7.8939,4.0325,4.8485,6.9281
23.762,15.469,14.713,10.241,10.784,11.168,11.044,10.879,8.9552,6.8667,9.0236,7.6748,6.9593,6.0302,8.0402,8.8889,5.0081,5.8054,5.9477
20.792,19.353,15.698,9.2096,10.784,11.168,9.0236,7.8939,8.9552,7.8667,8.0135,5.7236,6.9593,7.0352,7.0352,6.8988,3.0569,4.8485,3.9869
25.743,21.294,17.668,14.364,15.686,11.168,12.054,9.8839,14.925,11.867,11.044,6.6992,8.9106,10.05,10.05,8.8889,5.9837,8.6762,5.9477
26.733,23.236,19.639,20.55,20.588,15.228,16.094,13.864,18.905,16.867,16.094,9.626,16.715,17.085,14.07,12.869,10.862,14.418,11.83
26.733,21.294,15.698,18.488,20.588,15.228,14.074,10.879,16.915,14.867,16.094,12.553,14.764,13.065,12.06,11.874,10.862,12.504,10.85
22.772,18.382,15.698,16.426,16.667,13.198,9.0236,8.8889,10.945,10.867,12.054,7.6748,7.935,8.0402,8.0402,8.8889,6.9593,5.8054,5.9477
21.782,16.44,14.713,14.364,15.686,12.183,9.0236,7.8939,9.9502,8.8667,10.034,3.7724,6.9593,7.0352,8.0402,8.8889,7.935,5.8054,5.9477
17.822,15.469,9.7865,13.333,13.725,11.168,10.034,6.8988,8.9552,8.8667,9.0236,4.748,12.813,11.055,11.055,9.8839,8.9106,13.461,10.85
18.812,15.469,10.772,11.271,11.765,10.152,5.9933,6.8988,6.9652,5.8667,4.9832,2.7967,9.8862,8.0402,7.0352,5.9038,3.0569,8.6762,6.9281
8.9109,15.469,13.727,14.364,10.784,9.1371,7.0034,7.8939,7.9602,4.8667,3.9731,0.84553,2.0813,5.0251,4.0201,1.9237,-2.7967,1.0207,1.0458
13.861,13.528,13.727,14.364,11.765,9.1371,11.044,7.8939,7.9602,5.8667,5.9933,2.7967,3.0569,5.0251,5.0251,2.9187,-0.84553,3.8915,2.0261
20.792,14.498,5.8456,6.1168,6.8627,6.0914,9.0236,8.8889,4.9751,1.8667,2.963,2.7967,8.9106,6.0302,4.0201,2.9187,-0.84553,7.7193,1.0458
18.812,12.557,7.8161,1.9931,2.9412,3.0457,4.9832,6.8988,1.99,-0.13333,0.94276,0.84553,5.9837,6.0302,4.0201,2.9187,0.13008,4.8485,2.0261
14.851,9.644,10.772,-0.06873,0.0,1.0152,1.9529,2.9187,-0.99502,-4.1333,-3.0976,-2.0813,5.0081,2.0101,1.005,-0.06634,-0.84553,2.9346,0.06536
