0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9.7561,10.784,-2.9487,-6.9565,-3.9869,2.8986,3.7821,-0.12759,-6.6983,-7.8049,-3.6825,-7.5556,-4.902,-9.4603,-15.385,-14.493,-4.9123,-2.8436,-5.7504
5.8537,13.725,-1.9872,-5.9903,-3.0065,2.8986,3.7821,17.097,-7.6461,-5.8537,0.12698,0.06349,-2.9412,-7.5556,-9.6154,-7.7295,-2.0415,-5.6872,-2.9068
-13.659,3.9216,-4.8718,-4.058,-6.9281,-6.7633,4.7436,-8.74,-9.5419,-7.8049,-1.7778,0.06349,-4.902,-5.6508,-2.8846,-0.96618,-0.12759,-3.7915,-1.0111
-4.878,-0.98039,-5.8333,-6.9565,-8.8889,-7.7295,5.7051,-9.697,-5.7504,-7.8049,-0.8254,1.9683,-0.98039,-2.7937,1.9231,1.9324,1.7863,3.7915,3.7283
3.9024,3.9216,-1.9872,-8.8889,-7.9085,-3.8647,2.8205,5.614,-3.8547,-5.8537,2.0317,11.492,0.98039,-2.7937,2.8846,0.96618,1.7863,6.6351,4.6761
0.0,6.8627,-1.0256,-4.058,-1.0458,3.8647,3.7821,9.4418,2.7804,2.9268,7.746,8.6349,1.9608,0.06349,7.6923,7.7295,4.6571,10.427,7.5197
-9.7561,4.902,-5.8333,0.77295,4.8366,8.6957,2.8205,-11.611,4.6761,8.7805,12.508,7.6825,0.98039,1.0159,9.6154,11.594,6.571,12.322,12.259
-11.707,0.98039,-10.641,0.77295,3.8562,4.8309,1.859,-8.74,2.7804,5.8537,9.6508,2.9206,-0.98039,-0.88889,7.6923,9.6618,4.6571,8.5308,7.5197
-1.9512,6.8627,-10.641,-7.9227,-3.9869,-3.8647,3.7821,8.4848,-2.9068,0.0,-1.7778,6.7302,2.9412,-0.88889,5.7692,5.7971,3.7002,9.4787,9.4155
0.97561,14.706,-9.6795,-10.821,-5.9477,-4.8309,5.7051,-2.9984,-6.6983,-2.9268,-11.302,9.5873,7.8431,0.06349,3.8462,-0.96618,3.7002,14.218,11.311
-0.97561,6.8627,-4.8718,-4.058,2.8758,6.7633,2.8205,-9.697,-4.8025,-0.97561,-9.3968,-7.5556,3.9216,-2.7937,-1.9231,-9.6618,-1.0845,3.7915,2.7804
-7.8049,-7.8431,-5.8333,1.7391,8.7582,9.6618,-0.0641,-1.0845,-3.8547,0.97561,-3.6825,-5.6508,0.98039,-5.6508,-7.6923,-11.594,-2.0415,-3.7915,-2.9068
2.9268,5.8824,-0.0641,0.77295,3.8562,4.8309,2.8205,-2.0415,-3.8547,-0.97561,-1.7778,5.7778,0.98039,-6.6032,-8.6538,-8.6957,-0.12759,-5.6872,-3.8547
7.8049,18.627,1.859,1.7391,1.8954,2.8986,9.5513,-2.0415,-1.0111,-0.97561,4.8889,1.0159,1.9608,-2.7937,-5.7692,-0.96618,1.7863,-4.7393,-1.9589
1.9512,6.8627,4.7436,3.6715,2.8758,0.0,-1.9872,8.4848,0.88468,-1.9512,2.9841,5.7778,0.98039,-0.88889,-2.8846,1.9324,1.7863,-4.7393,-6.6983
9.7561,-2.9412,11.474,6.57,1.8954,-2.8986,-3.9103,5.614,3.7283,0.97561,1.0794,3.873,5.8824,5.7778,1.9231,5.7971,3.7002,0.0,-6.6983
13.659,-9.8039,7.6282,4.6377,2.8758,0.96618,0.89744,-12.568,2.7804,0.0,5.8413,4.8254,2.9412,4.8254,0.96154,6.7633,6.571,-2.8436,-3.8547
11.707,3.9216,8.5897,6.57,5.817,2.8986,3.7821,-3.9553,1.8325,0.0,7.746,10.54,0.98039,2.9206,0.0,4.8309,4.6571,-4.7393,-4.8025
13.659,15.686,9.5513,5.6039,4.8366,2.8986,2.8205,13.27,1.8325,0.97561,8.6984,5.7778,1.9608,4.8254,0.96154,4.8309,0.82935,-6.6351,-7.6461
6.8293,1.9608,1.859,-0.19324,-2.0261,-3.8647,-2.9487,7.5279,-2.9068,-2.9268,-3.6825,-9.4603,0.0,1.0159,-0.96154,0.96618,-4.9123,-5.6872,-10.49
4.878,-9.8039,3.7821,-1.1594,-2.0261,-3.8647,-3.9103,3.7002,-3.8547,-1.9512,-10.349,1.0159,-0.98039,0.06349,0.0,0.0,-7.7831,-2.8436,-7.6461
13.659,5.8824,9.5513,3.6715,1.8954,0.96618,-0.0641,-11.611,2.7804,1.9512,-11.302,-5.6508,-0.98039,2.9206,0.96154,-4.8309,-8.74,-0.94787,-1.0111
3.9024,7.8431,6.6667,3.6715,5.817,8.6957,3.7821,3.7002,1.8325,1.9512,-7.4921,-11.365,0.0,1.9683,-2.8846,-14.493,-14.482,-0.94787,-6.6983
1.9512,5.8824,3.7821,2.7053,5.817,6.7633,9.5513,16.14,-1.9589,0.97561,-5.5873,4.8254,-4.902,-0.88889,-5.7692,-15.459,-16.396,-4.7393,-10.49
10.732,5.8824,1.859,1.7391,4.8366,4.8309,6.6667,3.7002,0.88468,1.9512,-4.6349,2.9206,-7.8431,-0.88889,-3.8462,-10.628,-13.525,-3.7915,-7.6461
3.9024,1.9608,2.8205,1.7391,3.8562,4.8309,0.89744,-8.74,1.8325,0.97561,-3.6825,-12.317,-7.8431,-1.8413,-1.9231,-8.6957,-12.568,-3.7915,-9.5419
-2.9268,-2.9412,5.7051,0.77295,0.91503,0.0,-1.9872,-10.654,-1.0111,-0.97561,-2.7302,-9.4603,-8.8235,-3.746,-1.9231,-5.7971,-11.611,-4.7393,-10.49
14.634,10.784,6.6667,5.6039,5.817,3.8647,6.6667,7.5279,5.624,4.878,6.7937,0.06349,-4.902,-1.8413,-1.9231,-1.9324,-11.611,-2.8436,-10.49
21.463,17.647,3.7821,2.7053,2.8758,1.9324,7.6282,-0.12759,0.88468,0.97561,7.746,4.8254,-9.8039,-8.5079,-8.6538,-1.9324,-10.654,-11.374,-11.438
5.8537,11.765,5.7051,0.77295,2.8758,4.8309,0.89744,-2.0415,-3.8547,-2.9268,10.603,-3.746,-6.8627,-9.4603,-8.6538,0.96618,-2.0415,-5.6872,-4.8025
-3.9024,3.9216,2.8205,-2.1256,-3.0065,-2.8986,-5.8333,5.614,-7.6461,-6.8293,2.0317,-0.88889,-4.902,-7.5556,-6.7308,0.96618,-1.0845,-0.94787,-1.9589
0.0,-6.8627,-0.0641,-3.0918,-5.9477,-9.6618,-8.7179,-1.0845,-9.5419,-12.683,-13.206,-6.6032,-1.9608,-8.5079,-6.7308,-3.8647,-5.8692,0.94787,-3.8547
4.878,-10.784,-3.9103,-7.9227,-7.9085,-10.628,-2.9487,-14.482,-12.385,-17.561,-18.921,-12.317,-4.902,-13.27,-12.5,-12.56,-12.568,-7.5829,-7.6461
5.8537,-0.98039,0.89744,-1.1594,1.8954,0.96618,1.859,-9.697,-7.6461,-13.659,-14.159,-19.937,-2.9412,-13.27,-12.5,-14.493,-11.611,-6.6351,-3.8547
2.9268,8.8235,6.6667,7.5362,8.7582,9.6618,2.8205,6.571,-0.06319,-4.878,-2.7302,-13.27,0.98039,-8.5079,-6.7308,-10.628,-4.9123,1.8957,0.88468
3.9024,11.765,2.8205,3.6715,5.817,4.8309,-0.0641,8.4848,0.88468,-1.9512,-2.7302,-1.8413,0.0,-6.6032,-3.8462,-9.6618,-6.8262,2.8436,-1.0111
1.9512,6.8627,-1.9872,-0.19324,2.8758,0.96618,2.8205,1.7863,-2.9068,-0.97561,-3.6825,3.873,0.0,-4.6984,-1.9231,-6.7633,-5.8692,1.8957,-3.8547
-0.97561,0.98039,-3.9103,-1.1594,1.8954,-0.96618,0.89744,-9.697,-3.8547,0.97561,-0.8254,4.8254,0.98039,-3.746,-0.96154,-2.8986,-3.9553,0.94787,-2.9068
-2.9268,-2.9412,-1.9872,-0.19324,1.8954,-0.96618,-3.9103,-7.7831,-1.9589,4.878,3.9365,-6.6032,1.9608,-2.7937,0.0,0.96618,-1.0845,2.8436,-4.8025
-0.97561,-1.9608,-2.9487,0.77295,4.8366,5.7971,1.859,3.7002,0.88468,7.8049,8.6984,-4.6984,0.98039,0.06349,2.8846,5.7971,2.7432,1.8957,-2.9068
2.9268,7.8431,0.89744,1.7391,6.7974,11.594,9.5513,5.614,-0.06319,6.8293,13.46,3.873,-2.9412,-0.88889,1.9231,7.7295,6.571,-7.5829,-1.9589
7.8049,0.98039,4.7436,4.6377,9.7386,12.56,10.513,9.4418,4.6761,9.7561,16.317,20.063,-0.98039,1.9683,5.7692,11.594,11.356,-2.8436,1.8325
2.9268,0.0,6.6667,8.5024,13.66,13.527,13.397,-4.9123,6.5719,12.683,18.222,21.016,0.0,4.8254,10.577,15.459,13.27,2.8436,4.6761
2.9268,8.8235,6.6667,8.5024,9.7386,7.7295,9.5513,-2.9984,5.624,10.732,10.603,11.492,0.0,5.7778,11.538,14.493,12.313,3.7915,5.624
7.8049,4.902,2.8205,7.5362,6.7974,4.8309,1.859,0.82935,8.4676,10.732,3.9365,-0.88889,-0.98039,7.6825,11.538,11.594,9.4418,1.8957,5.624
0.0,-0.98039,5.7051,11.401,10.719,9.6618,0.89744,9.4418,14.155,13.659,6.7937,-3.746,1.9608,12.444,14.423,9.6618,5.614,1.8957,4.6761
