0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-8.867,-10.744,-13.927,-6.2867,-5.9113,-6.0914,-4.0404,-0.06667,-5.9406,-8.0929,-14.209,-11.837,-2.8243,-10.05,-16.08,-28.779,-34.992,-13.333,-37.373
-14.778,-14.628,-14.917,-11.468,-11.823,-9.1371,-4.0404,-7.0667,-14.851,-13.068,-12.189,-7.935,-11.691,-16.08,-19.095,-22.838,-22.309,-24.872,-30.476
-13.793,-15.599,-15.908,-13.541,-11.823,-9.1371,-4.0404,-10.067,-9.901,-9.0879,-5.1178,-0.13008,-15.632,-14.07,-12.06,-8.9769,-3.7724,-25.833,-12.742
-13.793,-14.628,-12.937,-6.2867,-6.8966,-3.0457,-5.0505,-8.0667,1.9802,2.8524,5.9933,5.7236,-5.78,2.0101,5.0251,8.8449,11.837,-10.449,9.9179
-5.9113,-8.8026,-4.0264,5.1123,6.8966,5.0761,-1.0101,7.9333,20.792,19.768,20.135,14.504,12.939,23.116,28.141,27.657,27.447,13.59,28.637
-7.8818,-6.8608,-8.9769,9.2573,10.837,10.152,4.0404,12.933,28.713,26.733,26.195,18.407,28.703,36.181,41.206,37.558,34.276,31.859,37.504
-6.8966,-6.8608,-7.9868,5.1123,9.8522,6.0914,3.0303,10.933,21.782,22.753,22.155,13.528,27.718,31.156,37.186,33.597,29.398,32.821,29.622
-9.8522,-10.744,-7.9868,-0.06909,3.9409,2.0305,-4.0404,7.9333,12.871,13.798,13.064,4.748,22.791,22.111,25.126,22.706,17.691,28.013,19.77
-4.9261,-5.89,-6.0066,-1.1054,6.8966,2.0305,0.0,4.9333,13.861,13.798,13.064,6.6992,20.821,15.075,17.085,16.766,12.813,24.167,12.874
-3.9409,-2.9773,-3.0363,0.96718,6.8966,3.0457,-1.0101,5.9333,7.9208,10.813,11.044,5.7236,13.924,4.0201,7.0352,5.8746,2.0813,9.7436,-2.89
-4.9261,-7.8317,1.9142,-2.1416,4.9261,0.0,-4.0404,7.9333,5.9406,7.8275,5.9933,1.8211,6.0427,-3.0151,-1.005,-6.0066,-11.577,-7.5641,-20.624
