0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4.878,4.9261,3.8003,-2.2006,1.9608,1.9324,-0.06472,-4.9123,-0.12698,3.8835,11.492,14.418,1.9512,1.0794,10.692,16.346,12.372,12.322,8.4676
-2.9268,0.0,-5.8615,-5.1133,-0.98039,-1.9324,-4.9191,-6.8262,-9.6508,-0.97087,2.9206,-1.8501,-7.8049,-9.3968,2.963,5.7692,3.7179,2.8436,10.363
0.97561,0.0,1.868,-2.2006,1.9608,-1.9324,-4.9191,-9.697,-8.6984,-0.97087,-2.7937,-18.118,-11.707,-13.206,-3.8003,-2.8846,-1.0897,-0.94787,6.5719
6.8293,2.9557,7.6651,4.5955,6.8627,2.8986,-0.06472,-5.8692,-0.12698,2.9126,-3.746,-20.989,-8.7805,-10.349,-3.8003,-3.8462,-0.12821,-5.6872,-0.06319
7.8049,9.8522,4.7665,9.4498,10.784,11.594,4.7896,5.614,8.4444,8.7379,1.0159,5.8054,-6.8293,-2.7302,1.0306,-0.96154,5.641,-4.7393,-1.0111
4.878,4.9261,-1.9968,3.6246,5.8824,5.7971,2.8479,2.7432,6.5397,6.7961,2.9206,10.59,-7.8049,-0.8254,2.963,0.0,6.6026,-2.8436,-1.0111
5.8537,4.9261,-1.9968,5.5663,6.8627,3.8647,6.7314,1.7863,11.302,11.65,5.7778,5.8054,0.97561,8.6984,8.7601,4.8077,2.7564,0.0,1.8325
0.0,1.9704,5.7327,0.71197,0.98039,-1.9324,3.8188,-5.8692,11.302,9.7087,1.9683,6.7624,8.7805,13.46,9.7262,2.8846,-4.9359,1.8957,-2.9068
-2.9268,0.0,0.90177,-5.1133,-2.9412,-2.8986,-0.06472,-2.0415,6.5397,6.7961,-0.88889,-0.89314,7.8049,13.46,7.7939,0.0,-6.859,1.8957,0.88468
-2.9268,-2.9557,0.90177,-4.1424,-1.9608,-1.9324,3.8188,10.399,4.6349,6.7961,-1.8413,-4.7209,7.8049,14.413,8.7601,0.96154,-3.0128,5.6872,6.5719
0.0,-1.9704,0.90177,-4.1424,-1.9608,0.0,4.7896,8.4848,3.6825,3.8835,-1.8413,-5.6778,4.878,12.508,7.7939,0.96154,-3.0128,3.7915,-1.0111
-1.9512,-0.98522,-4.8953,-8.0259,-5.8824,-2.8986,1.877,-2.9984,-1.0794,0.0,-1.8413,-15.247,2.9268,9.6508,5.8615,0.96154,-6.859,1.8957,-1.9589
-7.8049,-0.98522,-11.659,-9.9676,-8.8235,-6.7633,-2.0065,-18.309,-5.8413,-3.8835,-4.6984,8.6762,1.9512,5.8413,2.963,-0.96154,-3.0128,-0.94787,-4.8025
-2.9268,0.98522,-4.8953,-6.0841,-2.9412,-0.96618,3.8188,-0.12759,-5.8413,-0.97087,0.06349,16.332,3.9024,3.9365,1.9968,-1.9231,-3.0128,-0.94787,-2.9068
6.8293,8.867,10.564,-0.2589,5.8824,8.6957,13.528,5.614,-5.8413,2.9126,6.7302,1.0207,4.878,2.0317,1.9968,0.0,3.7179,2.8436,5.624
