0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-8.7805,-11.765,-6.7949,-12.754,-12.81,-8.6957,-4.8718,-6.8262,-10.49,-13.659,-5.5873,0.06349,-0.98039,-6.6032,-11.538,-6.7633,0.82935,-0.94787,1.8325
-9.7561,-6.8627,-6.7949,-9.8551,-7.9085,-5.7971,-2.9487,-5.8692,-1.0111,-3.9024,2.9841,3.873,3.9216,1.9683,-1.9231,0.96618,4.6571,5.6872,7.5197
-7.8049,-3.9216,-4.8718,-1.1594,0.91503,4.8309,7.6282,2.7432,8.4676,4.878,9.6508,6.7302,8.8235,9.5873,4.8077,5.7971,3.7002,9.4787,7.5197
-3.9024,0.0,-2.9487,0.77295,1.8954,2.8986,5.7051,0.82935,8.4676,4.878,7.746,10.54,7.8431,9.5873,6.7308,5.7971,-0.12759,3.7915,-0.06319
-3.9024,-1.9608,-1.0256,-1.1594,0.91503,0.0,1.859,0.82935,8.4676,5.8537,6.7937,9.5873,6.8627,10.54,11.538,7.7295,-1.0845,1.8957,-1.9589
-2.9268,-3.9216,-6.7949,-2.1256,-3.0065,-1.9324,1.859,-1.0845,3.7283,6.8293,6.7937,5.7778,7.8431,10.54,12.5,6.7633,-1.0845,1.8957,-1.0111
-1.9512,1.9608,-6.7949,-4.058,-1.0458,1.9324,6.6667,0.82935,1.8325,6.8293,5.8413,4.8254,8.8235,8.6349,6.7308,2.8986,-2.0415,0.94787,-6.6983
-7.8049,-3.9216,-1.9872,0.77295,6.7974,8.6957,6.6667,4.6571,0.88468,5.8537,4.8889,8.6349,2.9412,1.0159,-3.8462,-2.8986,-5.8692,-5.6872,-15.229
0.0,2.9412,4.7436,10.435,16.601,16.425,11.474,-6.8262,2.7804,6.8293,7.746,8.6349,-4.902,-7.5556,-14.423,-6.7633,-7.7831,-11.374,-21.864
11.707,15.686,5.7051,12.367,17.582,18.357,17.244,-2.9984,4.6761,6.8293,9.6508,9.5873,-7.8431,-10.413,-17.308,-7.7295,-6.8262,-15.166,-21.864
12.683,12.745,0.89744,13.333,16.601,20.29,16.282,2.7432,7.5197,9.7561,11.556,12.444,-6.8627,-5.6508,-8.6538,-1.9324,-4.9123,-10.427,-12.385
-9.7561,4.902,0.89744,21.063,25.425,21.256,15.321,0.82935,10.363,13.659,13.46,8.6349,-2.9412,2.9206,4.8077,8.6957,-2.0415,0.0,-0.06319
-3.9024,6.8627,5.7051,14.3,15.621,12.56,7.6282,-1.0845,9.4155,10.732,7.746,1.0159,-0.98039,6.7302,12.5,13.527,-1.0845,3.7915,6.5719
15.61,14.706,8.5897,9.4686,7.7778,4.8309,5.7051,-3.9553,9.4155,8.7805,3.9365,-1.8413,2.9412,10.54,19.231,14.493,-2.9984,9.4787,8.4676
20.488,11.765,5.7051,11.401,9.7386,9.6618,5.7051,0.82935,12.259,11.707,3.9365,-1.8413,6.8627,15.302,25.0,16.425,-3.9553,10.427,5.624
23.415,12.745,7.6282,11.401,11.699,8.6957,6.6667,9.4418,12.259,12.683,4.8889,4.8254,4.902,14.349,21.154,12.56,-4.9123,5.6872,0.88468
14.634,15.686,9.5513,9.4686,10.719,7.7295,5.7051,8.4848,9.4155,9.7561,4.8889,2.9206,3.9216,10.54,14.423,6.7633,-4.9123,3.7915,-1.9589
10.732,16.667,6.6667,4.6377,6.7974,7.7295,8.5897,-2.9984,1.8325,3.9024,3.9365,1.0159,0.98039,3.873,6.7308,2.8986,-2.9984,1.8957,-4.8025
15.61,17.647,2.8205,-0.19324,3.8562,6.7633,11.474,-4.9123,-4.8025,0.0,5.8413,7.6825,-2.9412,-2.7937,0.96154,2.8986,2.7432,0.94787,-1.9589
14.634,15.686,3.7821,-3.0918,1.8954,2.8986,9.5513,-1.0845,-9.5419,-4.878,2.9841,6.7302,-7.8431,-10.413,-9.6154,0.96618,5.614,-2.8436,1.8325
6.8293,8.8235,4.7436,-0.19324,0.91503,-0.96618,3.7821,-1.0845,-9.5419,-7.8049,-2.7302,1.0159,-12.745,-16.127,-18.269,-2.8986,3.7002,-12.322,-2.9068
0.0,-3.9216,1.859,3.6715,4.8366,4.8309,1.859,-2.0415,-5.7504,-4.878,-2.7302,1.9683,-10.784,-15.175,-19.231,-3.8647,2.7432,-12.322,-3.8547
1.9512,-7.8431,-0.0641,7.5362,7.7778,8.6957,7.6282,-3.9553,-2.9068,-0.97561,0.12698,6.7302,-8.8235,-9.4603,-13.462,-2.8986,2.7432,-6.6351,1.8325
3.9024,5.8824,4.7436,9.4686,6.7974,6.7633,9.5513,-6.8262,-0.06319,0.97561,0.12698,9.5873,-6.8627,-5.6508,-7.6923,-1.9324,0.82935,-5.6872,-1.0111
-5.8537,8.8235,5.7051,15.266,10.719,5.7971,5.7051,4.6571,6.5719,7.8049,4.8889,5.7778,-3.9216,1.9683,4.8077,5.7971,2.7432,-0.94787,1.8325
-0.97561,1.9608,2.8205,9.4686,11.699,9.6618,7.6282,3.7002,9.4155,11.707,6.7937,5.7778,-1.9608,5.7778,15.385,9.6618,3.7002,3.7915,6.5719
15.61,2.9412,6.6667,5.6039,8.7582,6.7633,5.7051,-2.0415,6.5719,7.8049,0.12698,4.8254,-5.8824,2.9206,14.423,3.8647,-2.9984,-0.94787,-1.0111
7.8049,3.9216,2.8205,3.6715,2.8758,3.8647,2.8205,6.571,1.8325,6.8293,-0.8254,5.7778,-6.8627,0.06349,11.538,-0.96618,-8.74,-6.6351,-7.6461
-2.9268,5.8824,-1.0256,0.77295,-0.06536,0.0,5.7051,6.571,3.7283,11.707,6.7937,3.873,-1.9608,5.7778,12.5,3.8647,-4.9123,-1.8957,-2.9068
